epidemiological_week,date,order_for_place,state,city,city_ibge_code,place_type,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,new_confirmed,last_available_deaths,new_deaths,last_available_death_rate,estimated_population,is_last,is_repeated
202111,2021-03-15,326,PE,Trindade,2615607,city,1005,3261.29283,11,33,0,0.0328,30816,True,False
202111,2021-03-15,335,PE,Triunfo,2615706,city,677,4441.38293,0,16,0,0.0236,15243,True,False
202111,2021-03-15,331,PE,Tupanatinga,2615805,city,465,1687.77903,1,7,1,0.0151,27551,True,False
202111,2021-03-15,330,PE,Tuparetama,2615904,city,235,2846.41473,0,13,0,0.0553,8256,True,False
202111,2021-03-15,324,PE,Venturosa,2616001,city,693,3713.62735,0,17,0,0.0245,18661,True,False
202111,2021-03-15,298,PE,Verdejante,2616100,city,284,2972.8881,1,4,0,0.0141,9553,True,False
202111,2021-03-15,308,PE,Vertente do Lério,2616183,city,156,2060.49399,0,2,0,0.0128,7571,True,False
202111,2021-03-15,333,PE,Vertentes,2616209,city,408,1947.12227,1,5,0,0.0123,20954,True,False
202111,2021-03-15,330,PE,Vicência,2616308,city,431,1315.14708,1,16,0,0.0371,32772,True,False
202111,2021-03-15,343,PE,Vitória de Santo Antão,2616407,city,3038,2176.48281,15,186,0,0.0612,139583,True,False
202111,2021-03-15,327,PE,Xexéu,2616506,city,344,2331.09711,0,18,0,0.0523,14757,True,False
